Webangebote Angebot;Unique Clients;Visits;CH-Visits;Use Time;Page Impressions;Nicht werberel.;WID;Offer;
Tamedia Network - Full Reach - tio.ch;;;34757067;6814;ticinonl;
Tamedia Network - Full Reach - Tribune de Genève;;;12731669;6814;tdg;
Tamedia Network - Full Reach - tutti.ch;;;241526729;6814;tutti;
Tamedia Network - Full Reach - zattoo.com;;;30252886;6814;zattoo;
Tamedia Network - News & Editorial;9'759'000;157692803;1353003213;6829;;
Tamedia Network - News & Editorial - 20min.ch - D-CH;;;897278475;6829;20minde;
Tamedia Network - News & Editorial - 20min.ch - W-CH;;;225395741;6829;20minro;
Tamedia Network - News & Editorial - 24heures.ch;;;10579191;6829;24heures;
Tamedia Network - News & Editorial - baslerzeitung.ch;;;20147668;6829;baz;
Tamedia Network - News & Editorial - bernerzeitung.ch;;;12616221;6829;bernerz;
Tamedia Network - News & Editorial - derbund.ch;;;9705096;6829;derbund;
Tamedia Network - News & Editorial - LeMatin.ch;;;68666342;6829;lematin;
Tamedia Network - News & Editorial - tagesanzeiger.ch;;;61125743;6829;tagesanz;
Tamedia Network - News & Editorial - tio.ch;;;34757067;6829;ticinonl;
Tamedia Network - News & Editorial - Tribune de Genève;;;12731669;6829;tdg;
Tamedia Publications romandes;2'148'000;16538575;93955577;6791;;
Tamedia Publications romandes - 24heures.ch;;;10579191;6791;24heures;
Tamedia Publications romandes - Bilan;;;641012;6791;bilan;
Tamedia Publications romandes - Femina.ch;;;1337363;6791;femina;
Tamedia Publications romandes - LeMatin.ch;;;68666342;6791;lematin;
Tamedia Publications romandes - Tribune de Genève;;;12731669;6791;tdg;
tio.ch;630'000;7720162;36049668;6790;;
tio.ch - laRegione;;;1292601;6790;regione;
tio.ch - tio.ch;;;34757067;6790;ticinonl;
TV Premium Network;1'700'000;13039703;44989404;6831;;
TV Premium Network - Teleboy.ch;;;8928783;6831;teleboy;
TV Premium Network - wilmaa.com;;;5807735;6831;wilmaa;
TV Premium Network - zattoo.com;;;30252886;6831;zattoo;
Viacom Netzwerk;85'000;265243;1002407;6833;;
Viacom Netzwerk - mtv.ch;;;306249;6833;mtv;
Viacom Netzwerk - nick.ch;;;651301;6833;nick;
Viacom Netzwerk - vivatv.ch;;;44857;6833;vivatv;
